Author Name,N/A
Author ID,55512419100
Affiliation,Universiti Utara Malaysia
h-index,N/A
Total Documents,96
Total Citations,1167
Subject Areas,"Library and Information Sciences, Management of Technology and Innovation, Pollution, Pharmacology, Toxicology and Pharmaceutics (all), Psychiatric Mental Health, Environmental Science (all), Cultural Studies, Food Science, Chemistry (all), Safety, Risk, Reliability and Quality, Materials Chemistry, Physiology (medical), Strategy and Management, Cellular and Molecular Neuroscience, Biophysics, Information Systems, Computer Science (all), Physics and Astronomy (all), Economics, Econometrics and Finance (all), Dentistry (all), Arts and Humanities (all), Genetics, Molecular Biology, Marketing, Aging, Information Systems and Management, Agricultural and Biological Sciences (all), Ocean Engineering, Computer Networks and Communications, Education, Industrial and Manufacturing Engineering, Accounting, Genetics (clinical), Aquatic Science, Biological Psychiatry, Social Sciences (miscellaneous), Renewable Energy, Sustainability and the Environment, Philosophy, Ecology, Economics, Econometrics and Finance (miscellaneous), Law, Hardware and Architecture, Arts and Humanities (miscellaneous), Energy (all), Mechanics of Materials, Business, Management and Accounting (all), Organizational Behavior and Human Resource Management, Behavioral Neuroscience, Management Science and Operations Research, Engineering (miscellaneous), Electrical and Electronic Engineering, Water Science and Technology, Biochemistry, Applied Mathematics, Multidisciplinary, Ecology, Evolution, Behavior and Systematics, Linguistics and Language, Economics and Econometrics, Business and International Management, Social Sciences (all), Civil and Structural Engineering, Public Health, Environmental and Occupational Health, Management Information Systems, Agronomy and Crop Science, Medicine (all), Mechanical Engineering, Cell Biology, Instrumentation, Development, Political Science and International Relations, Control and Systems Engineering, Language and Linguistics, Engineering (all), Physiology, Computer Science Applications, Finance, Psychiatry and Mental Health, Health (social science), Mathematics (all), Cognitive Neuroscience, Decision Sciences (all), Applied Psychology, Insect Science, Biochemistry, Genetics and Molecular Biology (all)"

SCOPUS_ID,Title,Publication,Date,DOI,Cited By,URL
SCOPUS_ID:85207474062,Exploring the literature of halal and Islamic tourism: a bibliometric analysis,Journal of Islamic Accounting and Business Research,2024-01-01,10.1108/JIABR-07-2023-0200,1,https://api.elsevier.com/content/abstract/scopus_id/85207474062
SCOPUS_ID:85206613274,Research trends of halal tourism: a bibliometric analysis,Journal of Islamic Accounting and Business Research,2024-01-01,10.1108/JIABR-08-2023-0246,2,https://api.elsevier.com/content/abstract/scopus_id/85206613274
SCOPUS_ID:85191392667,A Human-Centric Approach for Smart Manufacturing Adoption: An Empirical Study,Journal of Distribution Science,2024-01-01,10.15722/jds.22.01.202401.37,0,https://api.elsevier.com/content/abstract/scopus_id/85191392667
SCOPUS_ID:85182239396,Bibliometric analysis and network visualization on Tuberous Sclerosis Complex,Bangladesh Journal of Medical Science,2024-01-01,10.3329/bjms.v23i1.70664,1,https://api.elsevier.com/content/abstract/scopus_id/85182239396
SCOPUS_ID:85171665602,State of art in tax evasion research: A bibliometric review,Review of Education,2023-12-01,10.1002/rev3.3422,1,https://api.elsevier.com/content/abstract/scopus_id/85171665602
SCOPUS_ID:85168666004,"Meta-analysis of food supply chain: pre, during and post COVID-19 pandemic",Agriculture and Food Security,2023-12-01,10.1186/s40066-023-00425-5,13,https://api.elsevier.com/content/abstract/scopus_id/85168666004
SCOPUS_ID:85141438014,Sustainable financial services: reflection and future perspectives,Journal of Financial Services Marketing,2023-12-01,10.1057/s41264-022-00187-4,27,https://api.elsevier.com/content/abstract/scopus_id/85141438014
SCOPUS_ID:85147106287,Zakat administration reformation towards an effective and efficient zakat revenue generation,Journal of Islamic Accounting and Business Research,2023-11-22,10.1108/JIABR-05-2021-0151,8,https://api.elsevier.com/content/abstract/scopus_id/85147106287
SCOPUS_ID:85170433794,Mapping the field of green manufacturing: A bibliometric review of the literature and research frontiers,Journal of Cleaner Production,2023-10-15,10.1016/j.jclepro.2023.138729,32,https://api.elsevier.com/content/abstract/scopus_id/85170433794
SCOPUS_ID:85176767764,OpenRefine: An approachable tool for cleaning and harmonizing bibliographical data,AIP Conference Proceedings,2023-09-12,10.1063/5.0164724,20,https://api.elsevier.com/content/abstract/scopus_id/85176767764
SCOPUS_ID:85176765589,Determinants of customer continuance intention to use self-service kiosk in quick-service restaurant,AIP Conference Proceedings,2023-09-12,10.1063/5.0164954,0,https://api.elsevier.com/content/abstract/scopus_id/85176765589
SCOPUS_ID:85176721864,Social media influencer's credibility toward millennial's purchase intention of IT products in Malaysia,AIP Conference Proceedings,2023-09-12,10.1063/5.0164955,0,https://api.elsevier.com/content/abstract/scopus_id/85176721864
SCOPUS_ID:85172105923,Examining the trend of literature on classifification modelling: A bibliometric approach,Information Sciences Letters,2023-08-01,10.18576/isl/120820,1,https://api.elsevier.com/content/abstract/scopus_id/85172105923
SCOPUS_ID:85169332718,The 100 Most-Cited Research Publications on Servant Leadership: A Bibliometric Analysis,SAGE Open,2023-07-01,10.1177/21582440231194220,3,https://api.elsevier.com/content/abstract/scopus_id/85169332718
SCOPUS_ID:85163837854,History and Development of Takaful Research: A Bibliometric Review,SAGE Open,2023-07-01,10.1177/21582440231184852,9,https://api.elsevier.com/content/abstract/scopus_id/85163837854
SCOPUS_ID:85165911795,A Bibliometric Analysis of Iminosugars-related Studies,Malaysian Journal of Chemistry,2023-06-01,N/A,0,https://api.elsevier.com/content/abstract/scopus_id/85165911795
SCOPUS_ID:85150388990,Gene and schizophrenia in the pregenome and postgenome-wide association studies era: A bibliometric analysis and network visualization,Psychiatric Genetics,2023-04-01,10.1097/YPG.0000000000000336,3,https://api.elsevier.com/content/abstract/scopus_id/85150388990
SCOPUS_ID:85162118453,COMPREHENSIVE BIBLIOMETRIC MAPPING OF PUBLICATION TRENDS IN EARNINGS MANAGEMENT,Ikonomicheski Izsledvania,2023-01-01,N/A,0,https://api.elsevier.com/content/abstract/scopus_id/85162118453
SCOPUS_ID:85157987347,Global Research Trends in School Bullying: A Bibliometric Analysis,Journal of Educational and Social Research,2023-01-01,10.36941/jesr-2023-0009,0,https://api.elsevier.com/content/abstract/scopus_id/85157987347
SCOPUS_ID:85147565551,An assessment of the factors influencing adoption of e-filing system in Nigeria,International Journal of Business Information Systems,2023-01-01,10.1504/IJBIS.2020.10031318,4,https://api.elsevier.com/content/abstract/scopus_id/85147565551
SCOPUS_ID:85129545821,"Examining the trend of humanitarian supply chain studies: pre, during and post COVID-19 pandemic",Journal of Humanitarian Logistics and Supply Chain Management,2022-11-21,10.1108/JHLSCM-01-2022-0012,33,https://api.elsevier.com/content/abstract/scopus_id/85129545821
SCOPUS_ID:85142544524,Current Landscape of the Enterprise Resource Planning (ERP) Research: A Bibliometric Review,AIP Conference Proceedings,2022-11-07,10.1063/5.0106544,1,https://api.elsevier.com/content/abstract/scopus_id/85142544524
SCOPUS_ID:85142504368,Preface: The 10<sup>th</sup> International Conference on Applied Science and Technology (ICAST2021) EDITORIAL,AIP Conference Proceedings,2022-11-07,10.1063/12.0012324,0,https://api.elsevier.com/content/abstract/scopus_id/85142504368
SCOPUS_ID:85132884046,"Market orientation and business performance: the mediating role of total quality management and service innovation among Moslem fashion macro, small and medium enterprises in Indonesia",Journal of Islamic Accounting and Business Research,2022-09-26,10.1108/JIABR-12-2021-0321,13,https://api.elsevier.com/content/abstract/scopus_id/85132884046
SCOPUS_ID:85130169794,Profiling the Research Landscape on Cognitive Aging: A Bibliometric Analysis and Network Visualization,Frontiers in Aging Neuroscience,2022-04-27,10.3389/fnagi.2022.876159,14,https://api.elsevier.com/content/abstract/scopus_id/85130169794
SCOPUS_ID:85106454432,"Internal audit functions, financial reporting quality and moderating effect of senior management support",Meditari Accountancy Research,2022-04-13,10.1108/MEDAR-04-2020-0852,19,https://api.elsevier.com/content/abstract/scopus_id/85106454432
SCOPUS_ID:85107998068,Discovering the global landscape of fraud detection studies: a bibliometric review,Journal of Financial Crime,2022-03-14,10.1108/JFC-03-2021-0052,34,https://api.elsevier.com/content/abstract/scopus_id/85107998068
SCOPUS_ID:85136141872,"Examining Trends, Themes and Social Structure of Zakat Literature: A Bibliometric Analysis",Global Journal Al-Thaqafah,2022-01-01,10.7187/GJAT072022-3,6,https://api.elsevier.com/content/abstract/scopus_id/85136141872
SCOPUS_ID:85129244981,The influence of strategic management accounting on value creation in government linked companies,International Journal of Business Excellence,2022-01-01,10.1504/IJBEX.2022.122479,1,https://api.elsevier.com/content/abstract/scopus_id/85129244981
SCOPUS_ID:85118305437,Mapping the state of the art of scientific production on requirements engineering research: A bibliometric analysis,International Journal of Information Technologies and Systems Approach,2022-01-01,10.4018/IJITSA.289999,3,https://api.elsevier.com/content/abstract/scopus_id/85118305437
SCOPUS_ID:85102211049,Flipped classroom in the second decade of the Millenia: a Bibliometrics analysis with Lotka’s law,Education and Information Technologies,2021-07-01,10.1007/s10639-021-10457-8,89,https://api.elsevier.com/content/abstract/scopus_id/85102211049
SCOPUS_ID:85102242249,Assessment of the purpose of the use of gas: A perspective of internal audit functions in australia,International Journal of Information Systems in the Service Sector,2021-04-01,10.4018/IJISSS.2021040105,3,https://api.elsevier.com/content/abstract/scopus_id/85102242249
SCOPUS_ID:85107725848,The 100 most cited articles in zebrafish: A bibliometric perspective,Egyptian Journal of Aquatic Biology and Fisheries,2021-03-01,10.21608/EJABF.2021.170341,4,https://api.elsevier.com/content/abstract/scopus_id/85107725848
SCOPUS_ID:85123431055,A Requirement Model of Online Book Publishing Management System,Central Asia and the Caucasus,2021-01-01,10.37178/ca-c.21.5.025,0,https://api.elsevier.com/content/abstract/scopus_id/85123431055
SCOPUS_ID:85118727781,Quantitative description of publications (1986-2020) related to alzheimer disease and oxidative stress: A bibliometric study,Journal of Cellular Neuroscience and Oxidative Stress,2021-01-01,10.37212/jcnos.946898,5,https://api.elsevier.com/content/abstract/scopus_id/85118727781
SCOPUS_ID:85118723467,A Bibliometric review of research on oral traditions: An overview of over 100 years of studies,Journal of Language and Linguistic Studies,2021-01-01,10.52462/jlls.158,2,https://api.elsevier.com/content/abstract/scopus_id/85118723467
SCOPUS_ID:85103198439,Visualising and mapping a decade of literature on honey research: a bibliometric analysis from 2011 to 2020,Journal of Apicultural Research,2021-01-01,10.1080/00218839.2021.1898789,47,https://api.elsevier.com/content/abstract/scopus_id/85103198439
SCOPUS_ID:85095776610,Worldwide melatonin research: a bibliometric analysis of the published literature between 2015 and 2019,Chronobiology International,2021-01-01,10.1080/07420528.2020.1838534,70,https://api.elsevier.com/content/abstract/scopus_id/85095776610
SCOPUS_ID:85098580811,Growth and Collaboration in Massive Open Online Courses: A Bibliometric Analysis,International Review of Research in Open and Distributed Learning,2020-11-01,10.19173/IRRODL.V21I4.4693,43,https://api.elsevier.com/content/abstract/scopus_id/85098580811
SCOPUS_ID:85089247710,Integration of Waqf towards enhancing financial inclusion and socio-economic justice in Nigeria,International Journal of Ethics and Systems,2020-10-19,10.1108/IJOES-04-2020-0054,36,https://api.elsevier.com/content/abstract/scopus_id/85089247710
SCOPUS_ID:85087929685,Examining the trend of the research on the internet of things (IoT): A bibliometric analysis of the journal articles as indexed in the Scopus database,Journal of Physics: Conference Series,2020-06-17,10.1088/1742-6596/1529/2/022075,10,https://api.elsevier.com/content/abstract/scopus_id/85087929685
SCOPUS_ID:85084085877,Applicability of lotka’s law in extensible business reporting language (XBRL) studies,International Journal of Advanced Science and Technology,2020-04-23,N/A,11,https://api.elsevier.com/content/abstract/scopus_id/85084085877
SCOPUS_ID:85095583041,Perceived employability skills of accounting graduates: The insights from employers,Elementary Education Online,2020-01-01,10.17051/ilkonline.2020.04.104,15,https://api.elsevier.com/content/abstract/scopus_id/85095583041
SCOPUS_ID:85084213357,Challenges of independence of internal audit police officers: Evidence from Sudan,Journal of Critical Reviews,2020-01-01,10.31838/jcr.07.06.106,1,https://api.elsevier.com/content/abstract/scopus_id/85084213357
SCOPUS_ID:85082857925,The personality factor of conscientiousness on skills requirement and fraud risk assessment performance,International Journal of Financial Research,2020-01-01,10.5430/ijfr.v11n2p405,19,https://api.elsevier.com/content/abstract/scopus_id/85082857925
SCOPUS_ID:85080942799,Challenges in sustainable supply chain management of live animal trading: A case study of live animal industry in Malaysia,International Journal of Supply Chain Management,2020-01-01,N/A,3,https://api.elsevier.com/content/abstract/scopus_id/85080942799
SCOPUS_ID:85080857660,Factors influencing sustainable supplier selection: Evidence from palm oil refining and oleochemical manufacturing industry,International Journal of Supply Chain Management,2020-01-01,N/A,4,https://api.elsevier.com/content/abstract/scopus_id/85080857660
SCOPUS_ID:85081064831,Virtual team literature: A bibliometric evaluation,Test Engineering and Management,2019-11-01,N/A,1,https://api.elsevier.com/content/abstract/scopus_id/85081064831
SCOPUS_ID:85074850423,A review of the study on the impacts of the extensible business reporting language (XBRL),International Journal of Scientific and Technology Research,2019-09-01,N/A,12,https://api.elsevier.com/content/abstract/scopus_id/85074850423
SCOPUS_ID:85073060545,A Maturity-level Assessment of Generalised Audit Software: Internal Audit Functions in Australia,Australian Accounting Review,2019-09-01,10.1111/auar.12252,19,https://api.elsevier.com/content/abstract/scopus_id/85073060545
SCOPUS_ID:85074000481,Global trend on incivility research,Indian Journal of Public Health Research and Development,2019-07-01,10.5958/0976-5506.2019.01754.6,4,https://api.elsevier.com/content/abstract/scopus_id/85074000481
SCOPUS_ID:85071255815,"Perceived ease of use, perceived usefulness and the usage of computerized accounting systems: A performance of micro and small enterprises (mses) in china",International Journal of Recent Technology and Engineering,2019-07-01,10.35940/ijrte.B1056.0782S219,31,https://api.elsevier.com/content/abstract/scopus_id/85071255815
SCOPUS_ID:85071254537,A performance of ingenuity research using bibliometric method,International Journal of Recent Technology and Engineering,2019-07-01,10.35940/ijrte.B1057.0782S219,2,https://api.elsevier.com/content/abstract/scopus_id/85071254537
SCOPUS_ID:85071243230,Global perspective on payroll system patent and research: A bibliometric performance,International Journal of Recent Technology and Engineering,2019-07-01,10.35940/ijrte.B1028.0782S219,19,https://api.elsevier.com/content/abstract/scopus_id/85071243230
SCOPUS_ID:85070092865,An assessment of the purpose of the use of generalised audit software:A perspective of internal audit functions in Australia,"Iberian Conference on Information Systems and Technologies, CISTI",2019-06-01,10.23919/CISTI.2019.8760882,3,https://api.elsevier.com/content/abstract/scopus_id/85070092865
SCOPUS_ID:85065879821,Bibliometric analysis of published literature on industry 4.0,"ICEIC 2019 - International Conference on Electronics, Information, and Communication",2019-05-03,10.23919/ELINFOCOM.2019.8706445,46,https://api.elsevier.com/content/abstract/scopus_id/85065879821
SCOPUS_ID:85067064111,Bibliometric analysis of global scientific literature on web accessibility,International Journal of Recent Technology and Engineering,2019-04-01,N/A,105,https://api.elsevier.com/content/abstract/scopus_id/85067064111
SCOPUS_ID:85081654893,Examining the trend of the research on extensible business reporting language (xbrl): A bibliometric review,"International Journal of Innovation, Creativity and Change",2019-01-01,N/A,57,https://api.elsevier.com/content/abstract/scopus_id/85081654893
SCOPUS_ID:85068349618,Consumers' repurchase intention towards counterfeit products,International Journal of Supply Chain Management,2019-01-01,N/A,19,https://api.elsevier.com/content/abstract/scopus_id/85068349618
SCOPUS_ID:85068333553,Investigation of supplier selection criteria that leads to buyer-supplier long term relationship for semiconductor industry,International Journal of Supply Chain Management,2019-01-01,N/A,8,https://api.elsevier.com/content/abstract/scopus_id/85068333553
SCOPUS_ID:85068314299,Factors that influence customers' intention to visit green hotels in Malaysia,International Journal of Supply Chain Management,2019-01-01,N/A,8,https://api.elsevier.com/content/abstract/scopus_id/85068314299
SCOPUS_ID:85054551303,A comprehensive review on e-commerce research,AIP Conference Proceedings,2018-09-26,10.1063/1.5055471,2,https://api.elsevier.com/content/abstract/scopus_id/85054551303
SCOPUS_ID:85054525376,Examining the trend of published dissertation on web accessibility: A bibliometric analysis,AIP Conference Proceedings,2018-09-26,10.1063/1.5055422,3,https://api.elsevier.com/content/abstract/scopus_id/85054525376
SCOPUS_ID:85054519074,Payroll system: A bibliometric analysis of the literature,AIP Conference Proceedings,2018-09-26,10.1063/1.5055526,2,https://api.elsevier.com/content/abstract/scopus_id/85054519074
SCOPUS_ID:85054511917,The universal outlook of ingenuity research,AIP Conference Proceedings,2018-09-26,10.1063/1.5055426,0,https://api.elsevier.com/content/abstract/scopus_id/85054511917
SCOPUS_ID:85074804194,E-commerce adoption research: A review of literature,Journal of Social Sciences Research,2018-01-01,10.32861/jssr.spi6.90.99,8,https://api.elsevier.com/content/abstract/scopus_id/85074804194
SCOPUS_ID:85074804051,"Board of directors, audit committee and the financial performance of listed companies in Malaysia",Journal of Social Sciences Research,2018-01-01,10.32861/jssr.spi6.951.957,4,https://api.elsevier.com/content/abstract/scopus_id/85074804051
SCOPUS_ID:85074803825,Investigation in the Net of the Nigerian Economic and Financial Crimes Commission (EFCC): A case study,Journal of Social Sciences Research,2018-01-01,10.32861/jssr.spi6.701.708,0,https://api.elsevier.com/content/abstract/scopus_id/85074803825
SCOPUS_ID:85056262628,A global trend of the electronic supply chain management (e-SCM) research: A bibliometric analysis,International Journal of Supply Chain Management,2018-01-01,N/A,3,https://api.elsevier.com/content/abstract/scopus_id/85056262628
SCOPUS_ID:85046348942,Determination the key success factor for the success implementation and long-term sustainability of vendor managed inventory (VMI),International Journal of Supply Chain Management,2018-01-01,N/A,12,https://api.elsevier.com/content/abstract/scopus_id/85046348942
SCOPUS_ID:85031304977,An extension of technology acceptance model to determine factors that influence the intention to use electronic collection system in Nigerian federal hospitals,AIP Conference Proceedings,2017-10-03,10.1063/1.5005405,3,https://api.elsevier.com/content/abstract/scopus_id/85031304977
SCOPUS_ID:85029810929,ICT investment and its contributions to firm performance: A review of literature,Journal of Engineering and Applied Sciences,2017-09-01,10.3923/jeasci.2017.4193.4201,0,https://api.elsevier.com/content/abstract/scopus_id/85029810929
SCOPUS_ID:85045351382,Empirical evidence of the relationship between performance management antecedents and public-sector organizational performance,International Journal of Economic Research,2017-01-01,N/A,0,https://api.elsevier.com/content/abstract/scopus_id/85045351382
SCOPUS_ID:85039793720,Analysis of factors that influence electronic payment adoption,Journal of Engineering and Applied Sciences,2017-01-01,10.3923/jeasci.2017.6560.6568,5,https://api.elsevier.com/content/abstract/scopus_id/85039793720
SCOPUS_ID:85032820308,An examination of factors that influence employees’ behavioral intention to use electronic revenue collection system in public hospitals,"Journal of Telecommunication, Electronic and Computer Engineering",2017-01-01,N/A,4,https://api.elsevier.com/content/abstract/scopus_id/85032820308
SCOPUS_ID:85000473289,Current state of web accessibility of Malaysian ministries websites,AIP Conference Proceedings,2016-08-12,10.1063/1.4960854,4,https://api.elsevier.com/content/abstract/scopus_id/85000473289
SCOPUS_ID:85011396895,Evaluating accessibility of Malaysian ministries websites using WCAG 2.0 and Section 508 Guideline,"Journal of Telecommunication, Electronic and Computer Engineering",2016-01-01,N/A,11,https://api.elsevier.com/content/abstract/scopus_id/85011396895
SCOPUS_ID:85010224354,Evaluating accessibility of Malaysian public universities websites using AChecker and WAVE,Journal of Information and Communication Technology,2016-01-01,N/A,29,https://api.elsevier.com/content/abstract/scopus_id/85010224354
SCOPUS_ID:85008881509,IT sophistication: Implementation on state owned banks in Indonesia,International Review of Management and Marketing,2016-01-01,N/A,1,https://api.elsevier.com/content/abstract/scopus_id/85008881509
SCOPUS_ID:84996598778,Performance management antecedents and public sector organizational performance: Empirical evidence from Nigeria,International Journal of Economics and Financial Issues,2016-01-01,N/A,4,https://api.elsevier.com/content/abstract/scopus_id/84996598778
SCOPUS_ID:84996590148,The relationship between board diversity of information and communication technology expertise and information and communication technology investment: A review of literature,International Journal of Economics and Financial Issues,2016-01-01,N/A,5,https://api.elsevier.com/content/abstract/scopus_id/84996590148
SCOPUS_ID:84996553584,State of information technology adoption by internal audit department in Malaysian public sector,International Journal of Economics and Financial Issues,2016-01-01,N/A,13,https://api.elsevier.com/content/abstract/scopus_id/84996553584
SCOPUS_ID:84870590971,The utilisation of generalized audit software (GAS) by external auditors,Managerial Auditing Journal,2012-12-28,10.1108/02686901311284522,84,https://api.elsevier.com/content/abstract/scopus_id/84870590971
